Date,Type,Lat,Long,Region,Text
2041-04-30,Total,-9.6,12.2,South Atlantic Ocean,"2041-04-30:: Total: Angola, Republic of the Congo, Uganda, Kenya, Somalia; Partial: Brazil, Africa, Mid East"
2041-10-25,Annular,9.9,162.9,North Pacific Ocean,"2041-10-25:: Annular: Mongolia, China, Korea, Japan, Pacific; Partial: east Asia, Pacific"
2042-04-20,Total,27,137.3,North Pacific Ocean,"2042-04-20:: Total: Borneo, Indonesia, Philippines, north Pacific; Partial: east and southeast Asia, Australia, Pacific"
2042-10-14,Annular,-23.7,137.8,Australia,"2042-10-14:: Annular: Thailand, Malaysia, Borneo, Indonesia, Australia, New Zealand; Partial: south-east Asia, East Indies, south Pacific, Antarctica"
2043-04-09,Total,61.3,152,Asia,"2043-04-09:: Total: northeast Russia; Partial: north North America, northeast Asia"
2043-10-03,Annular,-61,35.3,Antarctic Ocean,"2043-10-03:: Annular: south Indian Ocean; Partial: Antarctica, southwest Australia, Indian Ocean"
2044-02-28,Annular,-62.2,-25.6,Antarctic Ocean,"2044-02-28:: Annular: south Atlantic; Partial: Antarctica, South America"
2044-08-23,Total,64.3,-120.4,North America,"2044-08-23:: Total: Greenland; Canada's Northwest Territories and Nunavut, Alberta, southwestern Saskatchewan; Montana, North Dakota; Partial: north Asia, western North America, Greenland"
2045-02-16,Annular,-28.3,-166.2,South Pacific Ocean,"2045-02-16:: Annular: New Zealand, Pacific; Partial: Australia, Hawaii"
2045-08-12,Total,25.9,-78.5,North Atlantic Ocean,"2045-08-12:: Total: south United States, Haiti, Dominican Republic, Venezuela, Guyana, French Guyana, Suriname, Brazil; Partial: North, Central and South America, western Africa"
2046-02-05,Annular,4.8,-171.4,North Pacific Ocean,"2046-02-05:: Annular: Papua New Guinea, Hawaii, California, Oregon, Idaho; Partial: Australia, western United States"
2046-08-02,Total,-12.7,15.2,Africa,"2046-08-02:: Total: Brazil, Angola, east Namibia, Botswana, South Africa, Swaziland, south Mozambique; Partial: Africa"
